"year","disease","region_name","case_numbers","source","nutM_code"
2013,"Dengue",NA,NA,"ECDC","FRL04"
2014,"Dengue",NA,NA,"ECDC","FRL05"
2014,"Dengue",NA,NA,"ECDC","FRL04"
2014,"Dengue",NA,NA,"ECDC","FRL05"
2014,"Dengue",NA,NA,"ECDC","FRL04"
2015,"Dengue",NA,NA,"ECDC","FRJ12"
2015,"Dengue",NA,NA,"ECDC","FRJ12"
2015,"Dengue",NA,NA,"ECDC","FRJ12"
2015,"Dengue",NA,NA,"ECDC","FRJ12"
2015,"Dengue",NA,NA,"ECDC","FRJ12"
2015,"Dengue",NA,NA,"ECDC","FRJ12"
2015,"Dengue",NA,NA,"ECDC","FRJ12"
2015,"Dengue",NA,NA,"ECDC","FRJ12"
2018,"Dengue",NA,NA,"ECDC","FRL03"
2018,"Dengue",NA,NA,"ECDC","FRL03"
2018,"Dengue",NA,NA,"ECDC","ES620"
2018,"Dengue",NA,NA,"ECDC","FRJ13"
2018,"Dengue",NA,NA,"ECDC","FRL03"
2018,"Dengue",NA,NA,"ECDC","ES620"
2018,"Dengue",NA,NA,"ECDC","FRJ12"
2018,"Dengue",NA,NA,"ECDC","FRL03"
2018,"Dengue",NA,NA,"ECDC","FRL03"
2018,"Dengue",NA,NA,"ECDC","FRJ13"
2018,"Dengue",NA,NA,"ECDC","ES511"
2019,"Dengue",NA,NA,"ECDC","FRK26"
2019,"Dengue",NA,NA,"ECDC","FRL03"
2019,"Dengue",NA,NA,"ECDC","FRL03"
2019,"Dengue",NA,NA,"ECDC","FRK26"
2019,"Dengue",NA,NA,"ECDC","FRL03"
2019,"Dengue",NA,NA,"ECDC","FRL03"
2019,"Dengue",NA,NA,"ECDC","ES511"
2019,"Dengue",NA,NA,"ECDC","FRL03"
2019,"Dengue",NA,NA,"ECDC","FRL03"
2019,"Dengue",NA,NA,"ECDC","ES300"
2019,"Dengue",NA,NA,"ECDC","FRL03"
2020,"Dengue",NA,NA,"ECDC","FRJ13"
2020,"Dengue",NA,NA,"ECDC","FRL05"
2020,"Dengue",NA,NA,"ECDC","FRL05"
2020,"Dengue",NA,NA,"ECDC","FRL05"
2020,"Dengue",NA,NA,"ECDC","FRL03"
2020,"Dengue",NA,NA,"ECDC","FRL03"
2020,"Dengue",NA,NA,"ECDC","ITH32"
2020,"Dengue",NA,NA,"ECDC","ITH32"
2020,"Dengue",NA,NA,"ECDC","ITH32"
2020,"Dengue",NA,NA,"ECDC","ITH32"
2020,"Dengue",NA,NA,"ECDC","ITH32"
2020,"Dengue",NA,NA,"ECDC","FRL03"
2020,"Dengue",NA,NA,"ECDC","FRJ12"
2020,"Dengue",NA,NA,"ECDC","FRL03"
2020,"Dengue",NA,NA,"ECDC","ITH32"
2020,"Dengue",NA,NA,"ECDC","ITH32"
2020,"Dengue",NA,NA,"ECDC","ITH32"
2020,"Dengue",NA,NA,"ECDC","FRJ12"
2020,"Dengue",NA,NA,"ECDC","FRL03"
2020,"Dengue",NA,NA,"ECDC","ITH32"
2020,"Dengue",NA,NA,"ECDC","ITH32"
2020,"Dengue",NA,NA,"ECDC","FRL03"
2020,"Dengue",NA,NA,"ECDC","FRL03"
2020,"Dengue",NA,NA,"ECDC","ITH32"
2021,"Dengue",NA,NA,"ECDC","FRL05"
2021,"Dengue",NA,NA,"ECDC","FR101"
2021,"Dengue",NA,NA,"ECDC","FRJ13"
2022,"Dengue",NA,NA,"ECDC","FRJ15"
2022,"Dengue",NA,NA,"ECDC","FRL05"
2022,"Dengue",NA,NA,"ECDC","FRL05"
2022,"Dengue",NA,NA,"ECDC","FRL05"
2022,"Dengue",NA,NA,"ECDC","FRJ26"
2022,"Dengue",NA,NA,"ECDC","FRL05"
2022,"Dengue",NA,NA,"ECDC","FRL03"
2022,"Dengue",NA,NA,"ECDC","FRL05"
2022,"Dengue",NA,NA,"ECDC","FRL05"
2022,"Dengue",NA,NA,"ECDC","FRL03"
2022,"Dengue",NA,NA,"ECDC","FRL03"
2022,"Dengue",NA,NA,"ECDC","FRJ26"
2022,"Dengue",NA,NA,"ECDC","FRL03"
2022,"Dengue",NA,NA,"ECDC","FRL03"
2022,"Dengue",NA,NA,"ECDC","FRL03"
2022,"Dengue",NA,NA,"ECDC","FRL03"
2022,"Dengue",NA,NA,"ECDC","FRL03"
2022,"Dengue",NA,NA,"ECDC","FRJ26"
2022,"Dengue",NA,NA,"ECDC","FRL03"
2022,"Dengue",NA,NA,"ECDC","FRL03"
2022,"Dengue",NA,NA,"ECDC","FRL03"
2022,"Dengue",NA,NA,"ECDC","FRJ23"
2022,"Dengue",NA,NA,"ECDC","FRL03"
2022,"Dengue",NA,NA,"ECDC","FRJ23"
2022,"Dengue",NA,NA,"ECDC","FRL03"
2022,"Dengue",NA,NA,"ECDC","FRL03"
2022,"Dengue",NA,NA,"ECDC","FRJ23"
2022,"Dengue",NA,NA,"ECDC","FRJ23"
2022,"Dengue",NA,NA,"ECDC","FRL03"
2022,"Dengue",NA,NA,"ECDC","FRJ26"
2022,"Dengue",NA,NA,"ECDC","FRL03"
2022,"Dengue",NA,NA,"ECDC","FRL03"
2022,"Dengue",NA,NA,"ECDC","FRL03"
2022,"Dengue",NA,NA,"ECDC","FRL03"
2022,"Dengue",NA,NA,"ECDC","FRJ28"
2022,"Dengue",NA,NA,"ECDC","FRL03"
2022,"Dengue",NA,NA,"ECDC","FRL03"
2022,"Dengue",NA,NA,"ECDC","FRL03"
2022,"Dengue",NA,NA,"ECDC","FRL03"
2022,"Dengue",NA,NA,"ECDC","FRL03"
2022,"Dengue",NA,NA,"ECDC","FRL03"
2022,"Dengue",NA,NA,"ECDC","FRL03"
2022,"Dengue",NA,NA,"ECDC","FRL03"
2022,"Dengue",NA,NA,"ECDC","FRL03"
2022,"Dengue",NA,NA,"ECDC","FRL03"
2022,"Dengue",NA,NA,"ECDC","FRL03"
2022,"Dengue",NA,NA,"ECDC","FRL03"
2022,"Dengue",NA,NA,"ECDC","FRL03"
2022,"Dengue",NA,NA,"ECDC","FRL03"
2022,"Dengue",NA,NA,"ECDC","FRL03"
2022,"Dengue",NA,NA,"ECDC","FRL03"
2022,"Dengue",NA,NA,"ECDC","FRL03"
2022,"Dengue",NA,NA,"ECDC","FRL03"
2022,"Dengue",NA,NA,"ECDC","FRJ23"
2022,"Dengue",NA,NA,"ECDC","FRL03"
2022,"Dengue",NA,NA,"ECDC","FRL03"
2022,"Dengue",NA,NA,"ECDC","FRM01"
2022,"Dengue",NA,NA,"ECDC","FRM01"
2022,"Dengue",NA,NA,"ECDC","FRJ23"
2022,"Dengue",NA,NA,"ECDC","FRL03"
2013,"Dengue","Bouches-du-Rhone","1","ECDC","FRL04"
2014,"Dengue","Bouches-du-Rhone","2","ECDC","FRL04"
2014,"Dengue","Var","2","ECDC","FRL05"
2015,"Dengue","Gard","8","ECDC","FRJ12"
2018,"Dengue","Madrid","1","ECDC","ES300"
2018,"Dengue","Barcelona","1","ECDC","ES511"
2018,"Dengue","Murcia","4","ECDC","ES620"
2018,"Dengue","Gard","1","ECDC","FRJ12"
2018,"Dengue","Herault","2","ECDC","FRJ13"
2018,"Dengue","Alpes-Maritimes","5","ECDC","FRL03"
2019,"Dengue","Madrid","1","ECDC","ES300"
2019,"Dengue","Barcelona","1","ECDC","ES511"
2019,"Dengue","Rhône","2","ECDC","FRK26"
2019,"Dengue","Alpes-Maritimes","7","ECDC","FRL03"
2020,"Dengue","Gard","2","ECDC","FRJ12"
2020,"Dengue","Hérault","1","ECDC","FRJ13"
2020,"Dengue","Alpes-Maritimes","7","ECDC","FRL03"
2020,"Dengue","Var","3","ECDC","FRL05"
2021,"Dengue","Paris","1","ECDC","FR101"
2021,"Dengue","Hérault","1","ECDC","FRJ13"
2021,"Dengue","Var","1","ECDC","FRL05"
2022,"Dengue","Paris","1","ECDC","FR101"
2022,"Dengue","Pyrénées-Orientales","1","ECDC","FRJ15"
2022,"Dengue","Haute-Garonne","6","ECDC","FRJ23"
2022,"Dengue","Hautes-Pyrénées ","4","ECDC","FRJ26"
2022,"Dengue","Tarn-et-Garonne","1","ECDC","FRJ28"
2022,"Dengue","Alpes-Maritimes","39","ECDC","FRL03"
2022,"Dengue","Var","6","ECDC","FRL05"
2022,"Dengue","Corse-du-Sud","2","ECDC","FRM01"
2023,"Dengue","Barcelona","3","ECDC","ES511"
2023,"Dengue","Val-de-Marne","3","ECDC","FR107"
2023,"Dengue","Gard","9","ECDC","FRJ12"
2023,"Dengue","Hérault","3","ECDC","FRJ13"
2023,"Dengue","Pyrénées-Orientales","11","ECDC","FRJ15"
2023,"Dengue","Drôme","2","ECDC","FRK23"
2023,"Dengue","Alpes-Maritimes","3","ECDC","FRL03"
2023,"Dengue","Bouches-du-Rhône","13","ECDC","FRL04"
2014,"Chikungunya",NA,NA,"ECDC","FRJ13"
2014,"Chikungunya",NA,NA,"ECDC","FRJ13"
2014,"Chikungunya",NA,NA,"ECDC","FRJ13"
2014,"Chikungunya",NA,NA,"ECDC","FRJ13"
2014,"Chikungunya",NA,NA,"ECDC","FRJ13"
2014,"Chikungunya",NA,NA,"ECDC","FRJ13"
2014,"Chikungunya",NA,NA,"ECDC","FRJ13"
2014,"Chikungunya",NA,NA,"ECDC","FRJ13"
2014,"Chikungunya",NA,NA,"ECDC","FRJ13"
2014,"Chikungunya",NA,NA,"ECDC","FRJ13"
2014,"Chikungunya",NA,NA,"ECDC","FRJ13"
2014,"Chikungunya",NA,NA,"ECDC","FRJ13"
2017,"Chikungunya",NA,NA,"ECDC","FRL05"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","FRL05"
2017,"Chikungunya",NA,NA,"ECDC","FRL05"
2017,"Chikungunya",NA,NA,"ECDC","FRL05"
2017,"Chikungunya",NA,NA,"ECDC","FRL05"
2017,"Chikungunya",NA,NA,"ECDC","FRL05"
2017,"Chikungunya",NA,NA,"ECDC","FRL05"
2017,"Chikungunya",NA,NA,"ECDC","FRL05"
2017,"Chikungunya",NA,NA,"ECDC","FRL05"
2017,"Chikungunya",NA,NA,"ECDC","FRL05"
2017,"Chikungunya",NA,NA,"ECDC","FRL05"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","FRL05"
2017,"Chikungunya",NA,NA,"ECDC","FRL05"
2017,"Chikungunya",NA,NA,"ECDC","FRL05"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","FRL05"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI32"
2017,"Chikungunya",NA,NA,"ECDC","FRL05"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","FRL05"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI44"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITH54"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI44"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI44"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI44"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITF63"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
2017,"Chikungunya",NA,NA,"ECDC","ITI43"
